"Tag Code","Event Site Code Value","Event Date Time Value","Antenna ID","Antenna Group Configuration Value","Mark Species Name","Mark Rear Type Name","Event Type Name","Event Site Type Description","Event Release Site Code Code","Event Release Date Time Value","CTH Count"
"384.1B7976429D","BO3","10/3/2012 2:40:24 PM","0F","110","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.1B7976429D","BO3","10/3/2012 2:43:09 PM","0D","110","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.1B7976429D","BO3","10/3/2012 2:43:10 PM","0D","110","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.1B7976429D","BO3","10/3/2012 2:48:04 PM","0B","110","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.1B7976429D","BO3","10/3/2012 2:48:05 PM","0B","110","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.1B7976429D","BO3","10/3/2012 2:53:09 PM","09","110","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.1B7976429D","BO3","10/3/2012 2:55:09 PM","07","110","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.1B7976429D","BO3","10/3/2012 2:55:10 PM","07","110","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.1B7976429D","BO3","10/3/2012 2:57:06 PM","05","110","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.1B7976429D","BO3","10/3/2012 2:57:07 PM","05","110","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.1B7976429D","BO3","10/3/2012 2:59:26 PM","03","110","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.1B7976429D","BO4","10/3/2012 3:49:32 PM","04","100","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.1B7976429D","BO4","10/3/2012 3:49:33 PM","04","100","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.1B7976429D","BO4","10/3/2012 3:57:44 PM","03","100","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.1B7976429D","BO4","10/3/2012 4:01:02 PM","02","100","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.1B7976429D","BO4","10/3/2012 4:06:46 PM","01","100","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.1B7976429D","BONAFF","10/3/2012 12:00:00 PM","NA","0","Steelhead","Unknown","Mark","Intra-Dam Release Site","BONAFF","10/3/2012 12:00:00 PM","1"
"384.1B7976429D","GRA","10/26/2012 6:01:44 PM","18","140","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.1B7976429D","GRA","10/26/2012 6:01:45 PM","12","140","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.1B7976429D","GRA","10/26/2012 6:01:45 PM","14","140","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.1B7976429D","GRA","10/26/2012 6:01:45 PM","16","140","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.1B7976429D","GRA","10/26/2012 7:33:29 PM","08","140","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.1B7976429D","GRA","10/26/2012 7:34:13 PM","06","140","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.1B7976429D","GRA","10/26/2012 7:34:46 PM","04","140","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.1B7976429D","GRA","10/26/2012 7:38:55 PM","02","140","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.1B7976429D","ICH","10/16/2012 3:28:28 PM","07","100","Steelhead","Unknown","Observation","Combined Dam Location","","","1"
"384.1B7976429D","ICH","10/16/2012 3:28:29 PM","07","100","Steelhead","Unknown","Observation","Combined Dam Location","","","1"
"384.1B7976429D","ICH","10/16/2012 3:28:43 PM","05","100","Steelhead","Unknown","Observation","Combined Dam Location","","","1"
"384.1B7976429D","ICH","10/16/2012 3:30:10 PM","05","100","Steelhead","Unknown","Observation","Combined Dam Location","","","1"
"384.1B7976429D","ICH","10/16/2012 3:30:42 PM","08","100","Steelhead","Unknown","Observation","Combined Dam Location","","","1"
"384.1B7976429D","ICH","10/16/2012 3:32:00 PM","07","100","Steelhead","Unknown","Observation","Combined Dam Location","","","1"
"384.1B7976429D","ICH","10/16/2012 3:32:01 PM","07","100","Steelhead","Unknown","Observation","Combined Dam Location","","","1"
"384.1B7976429D","ICH","10/16/2012 3:32:18 PM","05","100","Steelhead","Unknown","Observation","Combined Dam Location","","","1"
"384.1B7976429D","ICH","10/16/2012 3:34:20 PM","03","100","Steelhead","Unknown","Observation","Combined Dam Location","","","1"
"384.1B7976429D","ICH","10/16/2012 3:34:47 PM","01","100","Steelhead","Unknown","Observation","Combined Dam Location","","","1"
