"Tag Code","Event Site Code Value","Event Date Time Value","Antenna ID","Antenna Group Configuration Value","Mark Species Name","Mark Rear Type Name","Event Type Name","Event Site Type Description","Event Release Site Code Code","Event Release Date Time Value","CTH Count"
"3D9.1BF23D72BC","BO2","8/31/2017 12:08:58 PM","10","100","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1BF23D72BC","BO2","8/31/2017 12:10:42 PM","0E","100","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1BF23D72BC","BO2","8/31/2017 12:13:41 PM","0C","100","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1BF23D72BC","BO2","8/31/2017 12:13:42 PM","0C","100","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1BF23D72BC","BO2","8/31/2017 12:15:57 PM","0A","100","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1BF23D72BC","BO2","8/31/2017 12:16:14 PM","08","100","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1BF23D72BC","BO2","8/31/2017 12:16:15 PM","08","100","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1BF23D72BC","BO2","8/31/2017 12:18:23 PM","06","100","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1BF23D72BC","BO2","8/31/2017 12:20:44 PM","04","100","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1BF23D72BC","BO2","8/31/2017 12:20:45 PM","04","100","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1BF23D72BC","BO2","8/31/2017 12:21:08 PM","02","100","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1BF23D72BC","BO4","8/31/2017 1:27:21 PM","04","110","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1BF23D72BC","BO4","8/31/2017 1:28:33 PM","03","110","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1BF23D72BC","BO4","8/31/2017 1:28:34 PM","03","110","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1BF23D72BC","BO4","8/31/2017 1:32:07 PM","02","110","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1BF23D72BC","BO4","8/31/2017 1:33:18 PM","01","110","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1BF23D72BC","BO4","8/31/2017 1:33:19 PM","01","110","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1BF23D72BC","CEFLAF","5/21/2013 8:29:00 AM","NA","0","Chinook","Hatchery Reared","Mark","Acclimation Pond","CEFLAF","6/11/2013 10:46:00 AM","1"
"3D9.1BF23D72BC","GOA","9/9/2017 7:18:59 AM","02","100","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1BF23D72BC","GOA","9/9/2017 7:19:00 AM","02","100","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1BF23D72BC","GOA","9/9/2017 7:19:01 AM","01","100","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1BF23D72BC","GRA","9/10/2017 7:49:59 AM","B4","150","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1BF23D72BC","GRA","9/10/2017 7:50:00 AM","B4","150","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1BF23D72BC","GRA","9/10/2017 8:34:38 AM","22","150","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1BF23D72BC","GRA","9/10/2017 8:34:38 AM","24","150","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1BF23D72BC","GRA","9/10/2017 8:34:38 AM","26","150","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1BF23D72BC","GRA","9/10/2017 8:34:38 AM","28","150","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1BF23D72BC","GRA","9/10/2017 9:31:08 AM","08","150","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
