"Tag Code","Event Site Code Value","Event Date Time Value","Antenna ID","Antenna Group Configuration Value","Mark Species Name","Mark Rear Type Name","Event Type Name","Event Site Type Description","Event Release Site Code Code","Event Release Date Time Value","CTH Count"
"384.3B2398CE2F","GRA","5/18/2013 7:13:06 PM","12","140","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2398CE2F","GRA","5/18/2013 7:13:06 PM","14","140","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2398CE2F","GRA","5/18/2013 7:13:06 PM","16","140","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2398CE2F","GRA","5/18/2013 7:13:06 PM","18","140","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2398CE2F","GRA","5/18/2013 9:10:37 PM","08","140","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2398CE2F","GRA","5/18/2013 9:13:24 PM","06","140","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2398CE2F","GRA","5/18/2013 9:15:45 PM","04","140","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2398CE2F","GRA","5/18/2013 9:16:33 PM","02","140","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2398CE2F","IHR","5/13/2013 8:05:00 AM","NA","0","Chinook","Unknown","Mark","Dam","SNAKE1","5/13/2013 12:28:00 PM","1"
"384.3B2398CE2F","SC1","5/30/2013 1:11:47 PM","B1","100","Chinook","Unknown","Observation","Instream Remote Detection System","","","1"
"384.3B2398CF40","GRA","5/12/2013 11:30:08 AM","14","140","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2398CF40","GRA","5/12/2013 11:30:08 AM","16","140","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2398CF40","GRA","5/12/2013 11:30:08 AM","18","140","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2398CF40","GRA","5/12/2013 11:30:09 AM","12","140","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2398CF40","GRA","5/12/2013 12:51:28 PM","08","140","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2398CF40","GRA","5/12/2013 12:51:40 PM","06","140","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2398CF40","GRA","5/12/2013 12:51:47 PM","04","140","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2398CF40","GRA","5/12/2013 12:53:48 PM","02","140","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2398CF40","IHR","5/8/2013 8:18:00 AM","NA","0","Chinook","Unknown","Mark","Dam","SNAKE1","5/8/2013 1:25:00 PM","1"
"384.3B2398CF40","SC1","5/24/2013 4:39:28 PM","B2","100","Chinook","Unknown","Observation","Instream Remote Detection System","","","1"
"384.3B2398CF40","SC1","5/24/2013 4:40:28 PM","B2","100","Chinook","Unknown","Observation","Instream Remote Detection System","","","1"
"384.3B2398CF40","SC1","5/24/2013 4:41:28 PM","B2","100","Chinook","Unknown","Observation","Instream Remote Detection System","","","1"
"384.3B2398CF40","SC1","5/24/2013 4:42:23 PM","B3","100","Chinook","Unknown","Observation","Instream Remote Detection System","","","1"
"384.3B2398CF40","SC1","5/24/2013 4:42:28 PM","B2","100","Chinook","Unknown","Observation","Instream Remote Detection System","","","1"
"384.3B2398CF40","SC2","5/24/2013 6:12:22 PM","A2","100","Chinook","Unknown","Observation","Instream Remote Detection System","","","1"
"384.3B2398CF40","SC2","5/30/2013 1:41:23 PM","A5","100","Chinook","Unknown","Observation","Instream Remote Detection System","","","1"
"384.3B2399D54F","DWL","8/13/2013 3:10:22 PM","A1","100","Chinook","Unknown","Observation","Hatchery Returns","","","1"
"384.3B2399D54F","DWL","8/13/2013 3:10:23 PM","A2","100","Chinook","Unknown","Observation","Hatchery Returns","","","1"
"384.3B2399D54F","GRA","5/29/2013 8:03:41 AM","28","140","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2399D54F","GRA","5/29/2013 8:03:42 AM","22","140","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2399D54F","GRA","5/29/2013 8:03:42 AM","24","140","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2399D54F","GRA","5/29/2013 8:03:42 AM","26","140","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2399D54F","GRA","5/29/2013 9:19:13 AM","08","140","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2399D54F","GRA","5/29/2013 9:19:28 AM","06","140","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2399D54F","GRA","5/29/2013 9:19:44 AM","04","140","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2399D54F","GRA","5/29/2013 9:19:59 AM","02","140","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2399D54F","ICH","5/24/2013 12:05:43 PM","07","100","Chinook","Unknown","Observation","Combined Dam Location","","","1"
"384.3B2399D54F","ICH","5/24/2013 12:05:44 PM","07","100","Chinook","Unknown","Observation","Combined Dam Location","","","1"
"384.3B2399D54F","ICH","5/24/2013 12:05:58 PM","05","100","Chinook","Unknown","Observation","Combined Dam Location","","","1"
"384.3B2399D54F","ICH","5/24/2013 12:06:15 PM","03","100","Chinook","Unknown","Observation","Combined Dam Location","","","1"
"384.3B2399D54F","ICH","5/24/2013 12:06:33 PM","01","100","Chinook","Unknown","Observation","Combined Dam Location","","","1"
"384.3B2399D54F","ICH","5/24/2013 12:06:34 PM","01","100","Chinook","Unknown","Observation","Combined Dam Location","","","1"
"384.3B2399D54F","IHR","5/13/2013 8:05:00 AM","NA","0","Chinook","Unknown","Mark","Dam","SNAKE1","5/13/2013 12:28:00 PM","1"
"384.3B2399D54F","MC1","5/16/2013 6:31:20 AM","11","100","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2399D54F","MC1","5/16/2013 6:32:29 AM","0F","100","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2399D54F","MC1","5/16/2013 6:32:30 AM","0F","100","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2399D54F","MC1","5/16/2013 6:36:31 AM","0D","100","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2399D54F","MC1","5/16/2013 6:37:49 AM","09","100","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2399D54F","MC1","5/16/2013 6:37:50 AM","09","100","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2399D54F","MC1","5/16/2013 6:40:21 AM","07","100","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2399D54F","MC1","5/16/2013 6:40:22 AM","07","100","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2399D54F","MC1","5/16/2013 6:42:16 AM","05","100","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2399D54F","MC1","5/16/2013 6:42:17 AM","05","100","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2399D54F","MC1","5/16/2013 6:43:17 AM","03","100","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2399D54F","MC1","5/16/2013 7:51:27 AM","02","100","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2399D54F","MC1","5/16/2013 7:51:28 AM","02","100","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2399D54F","MC1","5/16/2013 7:51:37 AM","02","100","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2399D54F","MC1","5/16/2013 7:51:38 AM","02","100","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2399D54F","MC1","5/16/2013 8:00:45 AM","02","100","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2399D54F","MC1","5/16/2013 8:00:46 AM","02","100","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2399D54F","MC1","5/16/2013 8:00:53 AM","01","100","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2399D54F","MC1","5/23/2013 5:32:02 AM","11","100","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2399D54F","MC1","5/23/2013 5:32:03 AM","11","100","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2399D54F","MC1","5/23/2013 5:32:44 AM","0F","100","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2399D54F","MC1","5/23/2013 5:32:45 AM","0F","100","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2399D54F","MC1","5/23/2013 5:33:18 AM","0D","100","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2399D54F","MC1","5/23/2013 5:33:19 AM","0D","100","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2399D54F","MC1","5/23/2013 5:34:02 AM","09","100","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2399D54F","MC1","5/23/2013 5:34:03 AM","09","100","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2399D54F","MC1","5/23/2013 5:38:21 AM","07","100","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2399D54F","MC1","5/23/2013 5:39:00 AM","05","100","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2399D54F","MC1","5/23/2013 5:39:01 AM","05","100","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2399D54F","MC1","5/23/2013 5:44:01 AM","04","100","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2399D54F","MC1","5/23/2013 5:44:02 AM","04","100","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2399D54F","MC1","5/23/2013 5:44:14 AM","04","100","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2399D54F","MC1","5/23/2013 5:44:15 AM","04","100","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2399D54F","MC1","5/23/2013 5:44:17 AM","04","100","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2399D54F","MC1","5/23/2013 7:08:25 AM","02","100","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2399D54F","MC1","5/23/2013 7:08:28 AM","01","100","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2399D54F","MC1","5/23/2013 7:08:29 AM","01","100","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2399D54F","SC1","6/13/2013 4:03:33 AM","B2","100","Chinook","Unknown","Observation","Instream Remote Detection System","","","1"
"384.3B2399D54F","SC2","6/13/2013 5:10:33 AM","A2","100","Chinook","Unknown","Observation","Instream Remote Detection System","","","1"
"384.3B2399D54F","TD1","5/20/2013 5:37:09 PM","02","100","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2399D54F","TD1","5/20/2013 5:37:15 PM","02","100","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2399D54F","TD1","5/20/2013 5:37:16 PM","02","100","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2399D54F","TD1","5/20/2013 5:37:17 PM","02","100","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2399D54F","TD1","5/20/2013 5:40:39 PM","02","100","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2399D54F","TD1","5/20/2013 5:40:40 PM","02","100","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2399D54F","TD1","5/20/2013 5:40:47 PM","01","100","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B2399D54F","TD1","5/20/2013 5:40:48 PM","01","100","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B239D337D","BO3","5/18/2013 6:54:10 AM","18","110","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B239D337D","BO3","5/18/2013 6:54:17 AM","16","110","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B239D337D","BO3","5/18/2013 6:54:22 AM","14","110","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B239D337D","BO3","5/18/2013 6:54:37 AM","12","110","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B239D337D","BO3","5/18/2013 7:14:13 AM","0F","110","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B239D337D","BO3","5/18/2013 7:14:14 AM","0F","110","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B239D337D","BO3","5/18/2013 7:17:03 AM","0D","110","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B239D337D","BO3","5/18/2013 7:17:04 AM","0D","110","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B239D337D","BO3","5/18/2013 7:17:09 AM","0B","110","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B239D337D","BO3","5/18/2013 7:17:10 AM","0B","110","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B239D337D","BO3","5/18/2013 7:19:27 AM","0A","110","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B239D337D","BO3","5/18/2013 7:19:28 AM","0A","110","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B239D337D","BO3","5/18/2013 7:20:56 AM","08","110","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B239D337D","BO3","5/18/2013 7:20:57 AM","08","110","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B239D337D","BO3","5/18/2013 7:21:01 AM","06","110","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B239D337D","BO3","5/18/2013 7:21:02 AM","06","110","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B239D337D","BO3","5/18/2013 7:24:51 AM","04","110","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B239D337D","BO3","5/18/2013 7:24:52 AM","04","110","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B239D337D","BO3","5/18/2013 7:24:58 AM","02","110","Chinook","Unknown","Observation","Adult Fishway","","","1"
"384.3B239D337D","BO3","5/18/2013 7:24:59 AM","02","110","Chinook","Unknown","Observation","Adult Fishway","","","1"
