"Tag Code","Event Site Code Value","Event Date Time Value","Antenna ID","Antenna Group Configuration Value","Mark Species Name","Mark Rear Type Name","Event Type Name","Event Site Type Description","Event Release Site Code Code","Event Release Date Time Value","CTH Count"
"3D6.1D5972C1EB","B2J","7/8/2020 11:54:48 AM","01","150","Chinook","Hatchery Reared","Observation","Juvenile Fish Bypass Facility","","","1"
"3D6.1D5972C1EB","B2J","7/8/2020 11:54:49 AM","01","150","Chinook","Hatchery Reared","Observation","Juvenile Fish Bypass Facility","","","1"
"3D6.1D5972C1EB","B2J","7/8/2020 11:54:53 AM","02","150","Chinook","Hatchery Reared","Observation","Juvenile Fish Bypass Facility","","","1"
"3D6.1D5972C1EB","B2J","7/8/2020 11:54:54 AM","02","150","Chinook","Hatchery Reared","Observation","Juvenile Fish Bypass Facility","","","1"
"3D6.1D5972C1EB","B2J","7/8/2020 11:54:57 AM","03","150","Chinook","Hatchery Reared","Observation","Juvenile Fish Bypass Facility","","","1"
"3D6.1D5972C1EB","B2J","7/8/2020 11:55:01 AM","04","150","Chinook","Hatchery Reared","Observation","Juvenile Fish Bypass Facility","","","1"
"3D6.1D5972C1EB","B2J","7/8/2020 11:56:27 AM","A1","150","Chinook","Hatchery Reared","Observation","Juvenile Fish Bypass Facility","","","1"
"3D6.1D5972C1EB","B2J","7/8/2020 11:56:27 AM","A2","150","Chinook","Hatchery Reared","Observation","Juvenile Fish Bypass Facility","","","1"
"3D6.1D5972C1EB","B2J","7/8/2020 11:56:27 AM","A3","150","Chinook","Hatchery Reared","Observation","Juvenile Fish Bypass Facility","","","1"
"3D6.1D5972C1EB","B2J","7/8/2020 11:56:28 AM","A4","150","Chinook","Hatchery Reared","Observation","Juvenile Fish Bypass Facility","","","1"
"3D6.1D5972C1EB","B2J","7/8/2020 11:56:34 AM","81","150","Chinook","Hatchery Reared","Observation","Juvenile Fish Bypass Facility","","","1"
"3D6.1D5972C1EB","B2J","7/8/2020 11:56:34 AM","82","150","Chinook","Hatchery Reared","Observation","Juvenile Fish Bypass Facility","","","1"
"3D6.1D5972C1EB","BO1","8/31/2022 4:38:14 PM","23","120","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D6.1D5972C1EB","BO1","8/31/2022 4:40:41 PM","21","120","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D6.1D5972C1EB","BO1","8/31/2022 4:41:06 PM","1D","120","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D6.1D5972C1EB","BO1","8/31/2022 4:45:48 PM","1B","120","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D6.1D5972C1EB","BO1","8/31/2022 4:48:10 PM","17","120","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D6.1D5972C1EB","BO1","8/31/2022 4:48:23 PM","15","120","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D6.1D5972C1EB","BO1","8/31/2022 6:05:38 PM","04","120","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D6.1D5972C1EB","BO1","8/31/2022 6:05:39 PM","04","120","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D6.1D5972C1EB","BO1","8/31/2022 6:09:18 PM","03","120","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D6.1D5972C1EB","BO1","8/31/2022 6:09:19 PM","03","120","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D6.1D5972C1EB","BO1","8/31/2022 6:11:21 PM","02","120","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D6.1D5972C1EB","BO1","8/31/2022 6:11:22 PM","02","120","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D6.1D5972C1EB","BO1","8/31/2022 6:13:25 PM","01","120","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D6.1D5972C1EB","BO1","8/31/2022 6:13:26 PM","01","120","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D6.1D5972C1EB","GOA","9/11/2022 4:44:06 PM","02","100","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D6.1D5972C1EB","GOA","9/11/2022 4:44:07 PM","02","100","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D6.1D5972C1EB","GOA","9/11/2022 4:44:08 PM","02","100","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
